[   1] a =   3, b =   4, c =   5
[   2] a =   5, b =  12, c =  13
[   3] a =   7, b =  24, c =  25
[   4] a =   9, b =  12, c =  15
[   5] a =   9, b =  40, c =  41
[   6] a =  11, b =  60, c =  61
[   7] a =  13, b =  84, c =  85
[   8] a =  15, b =   8, c =  17
[   9] a =  15, b =  20, c =  25
[  10] a =  15, b =  36, c =  39
[  11] a =  15, b = 112, c = 113
[  12] a =  17, b = 144, c = 145
[  13] a =  19, b = 180, c = 181
[  14] a =  21, b =  20, c =  29
[  15] a =  21, b =  28, c =  35
[  16] a =  21, b =  72, c =  75
[  17] a =  21, b = 220, c = 221
[  18] a =  23, b = 264, c = 265
[  19] a =  25, b =  60, c =  65
[  20] a =  25, b = 312, c = 313
[  21] a =  27, b =  36, c =  45
[  22] a =  27, b = 120, c = 123
[  23] a =  27, b = 364, c = 365
[  24] a =  29, b = 420, c = 421
[  25] a =  31, b = 480, c = 481
[  26] a =  33, b =  44, c =  55
[  27] a =  33, b =  56, c =  65
[  28] a =  33, b = 180, c = 183
[  29] a =  33, b = 544, c = 545
[  30] a =  35, b =  12, c =  37
[  31] a =  35, b =  84, c =  91
[  32] a =  35, b = 120, c = 125
[  33] a =  35, b = 612, c = 613
[  34] a =  37, b = 684, c = 685
[  35] a =  39, b =  52, c =  65
[  36] a =  39, b =  80, c =  89
[  37] a =  39, b = 252, c = 255
[  38] a =  39, b = 760, c = 761
[  39] a =  41, b = 840, c = 841
[  40] a =  43, b = 924, c = 925
[  41] a =  45, b =  24, c =  51
[  42] a =  45, b =  28, c =  53
[  43] a =  45, b =  60, c =  75
[  44] a =  45, b = 108, c = 117
[  45] a =  45, b = 200, c = 205
[  46] a =  45, b = 336, c = 339
[  47] a =  49, b = 168, c = 175
[  48] a =  51, b =  68, c =  85
[  49] a =  51, b = 140, c = 149
[  50] a =  51, b = 432, c = 435
[  51] a =  55, b =  48, c =  73
[  52] a =  55, b = 132, c = 143
[  53] a =  55, b = 300, c = 305
[  54] a =  57, b =  76, c =  95
[  55] a =  57, b = 176, c = 185
[  56] a =  57, b = 540, c = 543
[  57] a =  63, b =  16, c =  65
[  58] a =  63, b =  60, c =  87
[  59] a =  63, b =  84, c = 105
[  60] a =  63, b = 216, c = 225
[  61] a =  63, b = 280, c = 287
[  62] a =  63, b = 660, c = 663
[  63] a =  65, b =  72, c =  97
[  64] a =  65, b = 156, c = 169
[  65] a =  65, b = 420, c = 425
[  66] a =  69, b =  92, c = 115
[  67] a =  69, b = 260, c = 269
[  68] a =  69, b = 792, c = 795
[  69] a =  75, b =  40, c =  85
[  70] a =  75, b = 100, c = 125
[  71] a =  75, b = 180, c = 195
[  72] a =  75, b = 308, c = 317
[  73] a =  75, b = 560, c = 565
[  74] a =  75, b = 936, c = 939
[  75] a =  77, b =  36, c =  85
[  76] a =  77, b = 264, c = 275
[  77] a =  77, b = 420, c = 427
[  78] a =  81, b = 108, c = 135
[  79] a =  81, b = 360, c = 369
[  80] a =  85, b = 132, c = 157
[  81] a =  85, b = 204, c = 221
[  82] a =  85, b = 720, c = 725
[  83] a =  87, b = 116, c = 145
[  84] a =  87, b = 416, c = 425
[  85] a =  91, b =  60, c = 109
[  86] a =  91, b = 312, c = 325
[  87] a =  91, b = 588, c = 595
[  88] a =  93, b = 124, c = 155
[  89] a =  93, b = 476, c = 485
[  90] a =  95, b = 168, c = 193
[  91] a =  95, b = 228, c = 247
[  92] a =  95, b = 900, c = 905
[  93] a =  99, b =  20, c = 101
[  94] a =  99, b = 132, c = 165
[  95] a =  99, b = 168, c = 195
[  96] a =  99, b = 440, c = 451
[  97] a =  99, b = 540, c = 549
[  98] a = 105, b =  36, c = 111
[  99] a = 105, b =  56, c = 119
[ 100] a = 105, b =  88, c = 137
[ 101] a = 105, b = 100, c = 145
[ 102] a = 105, b = 140, c = 175
[ 103] a = 105, b = 208, c = 233
[ 104] a = 105, b = 252, c = 273
[ 105] a = 105, b = 360, c = 375
[ 106] a = 105, b = 608, c = 617
[ 107] a = 105, b = 784, c = 791
[ 108] a = 111, b = 148, c = 185
[ 109] a = 111, b = 680, c = 689
[ 110] a = 115, b = 252, c = 277
[ 111] a = 115, b = 276, c = 299
[ 112] a = 117, b =  44, c = 125
[ 113] a = 117, b = 156, c = 195
[ 114] a = 117, b = 240, c = 267
[ 115] a = 117, b = 520, c = 533
[ 116] a = 117, b = 756, c = 765
[ 117] a = 119, b = 120, c = 169
[ 118] a = 119, b = 408, c = 425
[ 119] a = 121, b = 660, c = 671
[ 120] a = 123, b = 164, c = 205
[ 121] a = 123, b = 836, c = 845
[ 122] a = 125, b = 300, c = 325
[ 123] a = 129, b = 172, c = 215
[ 124] a = 129, b = 920, c = 929
[ 125] a = 133, b = 156, c = 205
[ 126] a = 133, b = 456, c = 475
[ 127] a = 135, b =  72, c = 153
[ 128] a = 135, b =  84, c = 159
[ 129] a = 135, b = 180, c = 225
[ 130] a = 135, b = 324, c = 351
[ 131] a = 135, b = 352, c = 377
[ 132] a = 135, b = 600, c = 615
[ 133] a = 141, b = 188, c = 235
[ 134] a = 143, b =  24, c = 145
[ 135] a = 143, b = 780, c = 793
[ 136] a = 143, b = 924, c = 935
[ 137] a = 145, b = 348, c = 377
[ 138] a = 145, b = 408, c = 433
[ 139] a = 147, b = 140, c = 203
[ 140] a = 147, b = 196, c = 245
[ 141] a = 147, b = 504, c = 525
[ 142] a = 153, b = 104, c = 185
[ 143] a = 153, b = 204, c = 255
[ 144] a = 153, b = 420, c = 447
[ 145] a = 153, b = 680, c = 697
[ 146] a = 155, b = 372, c = 403
[ 147] a = 155, b = 468, c = 493
[ 148] a = 159, b = 212, c = 265
[ 149] a = 161, b = 240, c = 289
[ 150] a = 161, b = 552, c = 575
[ 151] a = 165, b =  52, c = 173
[ 152] a = 165, b =  88, c = 187
[ 153] a = 165, b = 144, c = 219
[ 154] a = 165, b = 220, c = 275
[ 155] a = 165, b = 280, c = 325
[ 156] a = 165, b = 396, c = 429
[ 157] a = 165, b = 532, c = 557
[ 158] a = 165, b = 900, c = 915
[ 159] a = 171, b = 140, c = 221
[ 160] a = 171, b = 228, c = 285
[ 161] a = 171, b = 528, c = 555
[ 162] a = 171, b = 760, c = 779
[ 163] a = 175, b =  60, c = 185
[ 164] a = 175, b = 288, c = 337
[ 165] a = 175, b = 420, c = 455
[ 166] a = 175, b = 600, c = 625
[ 167] a = 177, b = 236, c = 295
[ 168] a = 183, b = 244, c = 305
[ 169] a = 185, b = 444, c = 481
[ 170] a = 185, b = 672, c = 697
[ 171] a = 187, b =  84, c = 205
[ 172] a = 189, b =  48, c = 195
[ 173] a = 189, b = 180, c = 261
[ 174] a = 189, b = 252, c = 315
[ 175] a = 189, b = 340, c = 389
[ 176] a = 189, b = 648, c = 675
[ 177] a = 189, b = 840, c = 861
[ 178] a = 195, b =  28, c = 197
[ 179] a = 195, b = 104, c = 221
[ 180] a = 195, b = 216, c = 291
[ 181] a = 195, b = 260, c = 325
[ 182] a = 195, b = 400, c = 445
[ 183] a = 195, b = 468, c = 507
[ 184] a = 195, b = 748, c = 773
[ 185] a = 201, b = 268, c = 335
[ 186] a = 203, b = 396, c = 445
[ 187] a = 203, b = 696, c = 725
[ 188] a = 205, b = 492, c = 533
[ 189] a = 205, b = 828, c = 853
[ 190] a = 207, b = 224, c = 305
[ 191] a = 207, b = 276, c = 345
[ 192] a = 207, b = 780, c = 807
[ 193] a = 207, b = 920, c = 943
[ 194] a = 209, b = 120, c = 241
[ 195] a = 213, b = 284, c = 355
[ 196] a = 215, b = 516, c = 559
[ 197] a = 215, b = 912, c = 937
[ 198] a = 217, b = 456, c = 505
[ 199] a = 217, b = 744, c = 775
[ 200] a = 219, b = 292, c = 365
[ 201] a = 221, b =  60, c = 229
[ 202] a = 225, b = 120, c = 255
[ 203] a = 225, b = 140, c = 265
[ 204] a = 225, b = 272, c = 353
[ 205] a = 225, b = 300, c = 375
[ 206] a = 225, b = 540, c = 585
[ 207] a = 225, b = 924, c = 951
[ 208] a = 231, b = 108, c = 255
[ 209] a = 231, b = 160, c = 281
[ 210] a = 231, b = 220, c = 319
[ 211] a = 231, b = 308, c = 385
[ 212] a = 231, b = 392, c = 455
[ 213] a = 231, b = 520, c = 569
[ 214] a = 231, b = 792, c = 825
[ 215] a = 235, b = 564, c = 611
[ 216] a = 237, b = 316, c = 395
[ 217] a = 243, b = 324, c = 405
[ 218] a = 245, b =  84, c = 259
[ 219] a = 245, b = 588, c = 637
[ 220] a = 245, b = 840, c = 875
[ 221] a = 247, b =  96, c = 265
[ 222] a = 249, b = 332, c = 415
[ 223] a = 253, b = 204, c = 325
[ 224] a = 255, b =  32, c = 257
[ 225] a = 255, b = 136, c = 289
[ 226] a = 255, b = 340, c = 425
[ 227] a = 255, b = 396, c = 471
[ 228] a = 255, b = 612, c = 663
[ 229] a = 255, b = 700, c = 745
[ 230] a = 259, b = 660, c = 709
[ 231] a = 259, b = 888, c = 925
[ 232] a = 261, b = 348, c = 435
[ 233] a = 261, b = 380, c = 461
[ 234] a = 265, b = 636, c = 689
[ 235] a = 267, b = 356, c = 445
[ 236] a = 273, b = 136, c = 305
[ 237] a = 273, b = 180, c = 327
[ 238] a = 273, b = 260, c = 377
[ 239] a = 273, b = 364, c = 455
[ 240] a = 273, b = 560, c = 623
[ 241] a = 273, b = 736, c = 785
[ 242] a = 273, b = 936, c = 975
[ 243] a = 275, b = 240, c = 365
[ 244] a = 275, b = 252, c = 373
[ 245] a = 275, b = 660, c = 715
[ 246] a = 279, b = 372, c = 465
[ 247] a = 279, b = 440, c = 521
[ 248] a = 285, b =  68, c = 293
[ 249] a = 285, b = 152, c = 323
[ 250] a = 285, b = 380, c = 475
[ 251] a = 285, b = 504, c = 579
[ 252] a = 285, b = 684, c = 741
[ 253] a = 285, b = 880, c = 925
[ 254] a = 287, b = 816, c = 865
[ 255] a = 291, b = 388, c = 485
[ 256] a = 295, b = 708, c = 767
[ 257] a = 297, b =  60, c = 303
[ 258] a = 297, b = 304, c = 425
[ 259] a = 297, b = 396, c = 495
[ 260] a = 297, b = 504, c = 585
[ 261] a = 299, b = 180, c = 349
[ 262] a = 301, b = 900, c = 949
[ 263] a = 303, b = 404, c = 505
[ 264] a = 305, b = 732, c = 793
[ 265] a = 309, b = 412, c = 515
[ 266] a = 315, b =  80, c = 325
[ 267] a = 315, b = 108, c = 333
[ 268] a = 315, b = 168, c = 357
[ 269] a = 315, b = 196, c = 371
[ 270] a = 315, b = 264, c = 411
[ 271] a = 315, b = 300, c = 435
[ 272] a = 315, b = 420, c = 525
[ 273] a = 315, b = 572, c = 653
[ 274] a = 315, b = 624, c = 699
[ 275] a = 315, b = 756, c = 819
[ 276] a = 319, b = 360, c = 481
[ 277] a = 321, b = 428, c = 535
[ 278] a = 323, b =  36, c = 325
[ 279] a = 325, b = 228, c = 397
[ 280] a = 325, b = 360, c = 485
[ 281] a = 325, b = 780, c = 845
